layer,n_passages,exact_match_rate,mean_first_divergence_idx
0,25,0.080,3.76
1,25,0.120,4.28
2,25,0.080,4.32
3,25,0.120,3.84
4,25,0.240,6.96
5,25,0.160,6.24
6,25,0.120,4.68
7,25,0.000,1.48
8,25,0.080,4.36
9,25,0.080,3.76
10,25,0.040,2.52
11,25,0.000,1.56
12,25,0.080,3.16
13,25,0.080,4.40
14,25,0.080,3.12
15,25,0.040,3.12
16,25,0.000,2.16
17,25,0.040,2.92
18,25,0.040,2.92
19,25,0.080,4.04
20,25,0.000,1.84
21,25,0.080,2.88
22,25,0.080,4.24
23,25,0.080,5.00
24,25,0.080,2.88
25,25,0.040,2.12
26,25,0.040,2.44
27,25,0.160,6.44
28,25,0.040,3.20
29,25,0.080,3.92
30,25,0.160,5.88
31,25,0.080,3.88
32,25,0.080,4.48
33,25,0.080,4.52
34,25,0.080,2.68
